test_id	gene_id	gene	name	description	pseudo	locus	sample_1	sample_2	status	fpkm_KO	fpkm_WT	test_stat	p_value	q_value	significant	dist2Telo	subtelo.HP1
XLOC_005358	XLOC_005358	PF3D7_1426500	ABCG2	ABC transporter G family member 2	No	Pf3D7_14_v3:1027965-1029948	KO	WT	OK	3.18726	12.5073	5.69539	5.00E-05	0.00198172	yes	1029948	FALSE
XLOC_000190	XLOC_000190	PF3D7_0209000	P230	6-cysteine protein	No	Pf3D7_02_v3:370437-379845	KO	WT	OK	12.1907	47.7021	10.0786	5.00E-05	0.00198172	yes	370438	FALSE
XLOC_003267	XLOC_003267	PF3D7_1149700		"Plasmodium exported protein (PHISTa), unknown function"	No	Pf3D7_11_v3:2004753-2005011	KO	WT	OK	21.4128	81.7064	3.18481	0.273	0.640086	no	33586	TRUE
XLOC_001230	XLOC_001230	PF3D7_0532600		"Plasmodium exported protein, unknown function"	No	Pf3D7_05_v3:1318530-1319229	KO	WT	OK	102.366	378.393	7.89223	5.00E-05	0.00198172	yes	24328	FALSE
XLOC_002657	XLOC_002657	PF3D7_1010500		"ankyrin-repeat protein, putative"	No	Pf3D7_10_v3:417704-419318	KO	WT	OK	1.12404	4.15004	1.18313	0.2788	0.644247	no	417705	FALSE
XLOC_001136	XLOC_001136	PF3D7_0514500		"conserved Plasmodium membrane protein, unknown function"	No	Pf3D7_05_v3:605026-606330	KO	WT	OK	5.36149	19.5159	3.54254	0.0015	0.0283505	yes	606330	FALSE
XLOC_000638	XLOC_000638	PF3D7_0324100	MC-2TM	Pfmc-2TM Maurer's cleft two transmembrane protein	No	Pf3D7_03_v3:1007412-1008202	KO	WT	OK	55.8811	203.26	8.25938	5.00E-05	0.00198172	yes	59769	TRUE
XLOC_004066	XLOC_004066	PF3D7_1253500		"Plasmodium exported protein, unknown function"	No	Pf3D7_12_v3:2183463-2184168	KO	WT	NOTEST	0.1	0.358883	0	1	1	no	87326	TRUE
XLOC_000950	XLOC_000950	PF3D7_0510800		"WD repeat-containing protein, putative"	No	Pf3D7_05_v3:461016-464399	KO	WT	OK	3.82999	13.6921	5.58049	5.00E-05	0.00198172	yes	461017	FALSE
XLOC_001186	XLOC_001186	PF3D7_0523500		"dynein light chain Tctex-type, putative"	No	Pf3D7_05_v3:976689-977815	KO	WT	OK	22.7766	80.7373	2.69526	0.01235	0.114469	no	365742	FALSE
XLOC_002786	XLOC_002786	PF3D7_1038400	Pf11-1	gametocyte-specific protein	No	Pf3D7_10_v3:1519020-1547825	KO	WT	OK	10.3151	35.505	9.09487	5.00E-05	0.00198172	yes	168635	FALSE
XLOC_000046	XLOC_000046	PF3D7_0110000		"conserved Plasmodium protein, unknown function"	No	Pf3D7_01_v3:388371-389076	KO	WT	OK	103.966	356.753	8.77695	5.00E-05	0.00198172	yes	252479	FALSE
XLOC_002422	XLOC_002422	PF3D7_0937400	RIF	rifin	No	Pf3D7_09_v3:1477525-1478736	KO	WT	OK	4.91042	16.7947	4.41874	5.00E-05	0.00198172	yes	64209	TRUE
XLOC_003250	XLOC_003250	PF3D7_1147200		"tubulin--tyrosine ligase, putative"	No	Pf3D7_11_v3:1873146-1881414	KO	WT	OK	1.50215	5.10311	6.70546	5.00E-05	0.00198172	yes	165193	FALSE
XLOC_003893	XLOC_003893	PF3D7_1216500	MDV1	male development gene 1	No	Pf3D7_12_v3:657338-658004	KO	WT	OK	248.572	811.531	8.69183	5.00E-05	0.00198172	yes	658004	FALSE
XLOC_003598	XLOC_003598	PF3D7_1216700	PLP2	perforin-like protein 2	No	Pf3D7_12_v3:663060-666282	KO	WT	OK	2.95893	9.59074	5.77805	5.00E-05	0.00198172	yes	663061	FALSE
XLOC_002836	XLOC_002836	PF3D7_1005200		"conserved Plasmodium protein, unknown function"	No	Pf3D7_10_v3:232421-232818	KO	WT	OK	148.844	471.039	1.01322	0.29755	0.662595	no	232818	FALSE
XLOC_003976	XLOC_003976	PF3D7_1233200		"conserved Plasmodium protein, unknown function"	No	Pf3D7_12_v3:1360630-1370637	KO	WT	OK	8.92736	27.4906	8.24439	5.00E-05	0.00198172	yes	900857	FALSE
XLOC_001591	XLOC_001591	PF3D7_0706200		"conserved Plasmodium protein, unknown function"	No	Pf3D7_07_v3:304314-304755	KO	WT	OK	235.983	718.295	2.63524	0.0097	0.098691	no	304315	FALSE
XLOC_004953	XLOC_004953	PF3D7_1430800	PIP3	"conserved Plasmodium protein, unknown function"	No	Pf3D7_14_v3:1214934-1215732	KO	WT	OK	55.7033	168.877	7.39521	5.00E-05	0.00198172	yes	1214935	FALSE
XLOC_004144	XLOC_004144	PF3D7_1316400	SAS6L	"SAS6-like protein, putative"	No	Pf3D7_13_v3:683083-684476	KO	WT	OK	1.01025	3.05828	1.41921	0.177	0.523703	no	683084	FALSE
XLOC_001558	XLOC_001558	PF3D7_0631400	MC-2TM	Pfmc-2TM Maurer's cleft two transmembrane protein	No	Pf3D7_06_v3:1318326-1319116	KO	WT	OK	258.452	779.015	8.13172	5.00E-05	0.00198172	yes	99126	TRUE
XLOC_005182	XLOC_005182	PF3D7_1475500	CCp1	LCCL domain-containing protein	No	Pf3D7_14_v3:3106948-3111811	KO	WT	OK	8.20726	24.6234	7.74138	5.00E-05	0.00198172	yes	184987	FALSE
XLOC_000447	XLOC_000447	PF3D7_0311700	PM6	plasmepsin VI	No	Pf3D7_03_v3:502697-505848	KO	WT	OK	11.5636	34.6353	5.84689	5.00E-05	0.00198172	yes	502698	FALSE
XLOC_002981	XLOC_002981	PF3D7_1031000	P25	25 kDa ookinete surface antigen precursor	No	Pf3D7_10_v3:1253416-1254070	KO	WT	OK	25.3336	74.9729	5.23768	5.00E-05	0.00198172	yes	433586	FALSE
XLOC_003878	XLOC_003878	PF3D7_1213300		"conserved Plasmodium protein, unknown function"	No	Pf3D7_12_v3:578469-578917	KO	WT	OK	12.4901	36.874	1.58176	0.13625	0.463564	no	578917	FALSE
XLOC_004535	XLOC_004535	PF3D7_1316000		"protein kinase, putative"	No	Pf3D7_13_v3:668359-670745	KO	WT	OK	6.86051	19.982	4.13284	0.0005	0.0130813	yes	670745	FALSE
XLOC_003111	XLOC_003111	PF3D7_1118900		"conserved Plasmodium protein, unknown function"	No	Pf3D7_11_v3:716794-718412	KO	WT	OK	5.68736	16.5488	3.25037	0.0019	0.0336363	yes	716795	FALSE
XLOC_001557	XLOC_001557	PF3D7_0631200	VAR	"erythrocyte membrane protein 1 (PfEMP1), pseudogene"	Yes	Pf3D7_06_v3:1313707-1315253	KO	WT	NOTEST	0.290199	0.821214	0	1	1	no	102989	TRUE
XLOC_003849	XLOC_003849	PF3D7_1207300	LIMP	"conserved Plasmodium protein, unknown function"	No	Pf3D7_12_v3:343325-344361	KO	WT	OK	37.3339	105.352	2.5298	0.01165	0.111283	no	344361	FALSE
XLOC_004954	XLOC_004954	PF3D7_1431100	PIP2	"conserved Plasmodium protein, unknown function"	No	Pf3D7_14_v3:1221774-1222818	KO	WT	OK	36.8932	104.089	6.94107	5.00E-05	0.00198172	yes	1221775	FALSE
XLOC_005303	XLOC_005303	PF3D7_1416400		"conserved Plasmodium protein, unknown function"	No	Pf3D7_14_v3:661097-665098	KO	WT	OK	9.2828	26.1463	6.03662	5.00E-05	0.00198172	yes	665098	FALSE
XLOC_004536	XLOC_004536	PF3D7_1316300		"conserved Plasmodium protein, unknown function"	No	Pf3D7_13_v3:681362-682149	KO	WT	OK	39.5452	109.725	2.29816	0.0201	0.159093	no	682149	FALSE
XLOC_003089	XLOC_003089	PF3D7_1114000		"dynein light chain type 2, putative"	No	Pf3D7_11_v3:537646-538297	KO	WT	OK	8.27883	22.7403	2.69031	0.00785	0.0852584	no	537647	FALSE
XLOC_004242	XLOC_004242	PF3D7_1335500		"DNA replication complex GINS protein, putative"	No	Pf3D7_13_v3:1451488-1453443	KO	WT	NOTEST	0.318042	0.866512	0	1	1	no	1451489	FALSE
XLOC_002589	XLOC_002589	PF3D7_0932900		"conserved Plasmodium protein, unknown function"	No	Pf3D7_09_v3:1309466-1309943	KO	WT	OK	5.5652	15.0446	2.04112	0.0376	0.229269	no	231792	FALSE
XLOC_004711	XLOC_004711	PF3D7_1351300		"conserved Plasmodium membrane protein, unknown function"	No	Pf3D7_13_v3:2048380-2049656	KO	WT	OK	3.66858	9.90037	3.1403	0.002	0.034487	yes	875580	FALSE
XLOC_003997	XLOC_003997	PF3D7_1237300		"conserved Plasmodium protein, unknown function"	No	Pf3D7_12_v3:1556298-1557617	KO	WT	OK	0.828147	2.22577	1.45953	0.1484	0.48375	no	713877	FALSE
XLOC_003488	XLOC_003488	PF3D7_1143500		"conserved Plasmodium protein, unknown function"	No	Pf3D7_11_v3:1737255-1740029	KO	WT	OK	5.76638	15.3915	5.49104	5.00E-05	0.00198172	yes	298311	FALSE
XLOC_001045	XLOC_001045	PF3D7_0530800		CPW-WPC family protein	No	Pf3D7_05_v3:1255220-1257254	KO	WT	OK	16.8169	44.6062	4.45231	0.0001	0.00371399	yes	88336	FALSE
XLOC_000543	XLOC_000543	PF3D7_0303900		"phosphatidylethanolamine-binding protein, putative"	No	Pf3D7_03_v3:196569-197438	KO	WT	OK	11.3179	29.9511	3.23044	0.00165	0.0303223	yes	197438	FALSE
XLOC_001503	XLOC_001503	PF3D7_0620200		"conserved Plasmodium protein, unknown function"	No	Pf3D7_06_v3:846522-847494	KO	WT	OK	0.65141	1.7179	1.25366	0.1492	0.484649	no	570748	FALSE
XLOC_000737	XLOC_000737	PF3D7_0421800		"conserved Plasmodium protein, unknown function"	No	Pf3D7_04_v3:995997-996252	KO	WT	OK	70.9865	187.205	1.64236	0.10965	0.412722	no	204492	FALSE
XLOC_002327	XLOC_002327	PF3D7_0920300		"conserved Plasmodium protein, unknown function"	No	Pf3D7_09_v3:831668-832648	KO	WT	OK	6.14784	16.1383	2.40005	0.0132	0.119227	no	710066	FALSE
XLOC_000201	XLOC_000201	PF3D7_0211600	ALG14	"UDP-N-acetylglucosamine transferase subunit ALG14, putative"	No	Pf3D7_02_v3:467846-468476	KO	WT	OK	2.34955	6.16039	1.80379	0.06075	0.298713	no	467847	FALSE
XLOC_002341	XLOC_002341	PF3D7_0922300		"conserved Plasmodium protein, unknown function"	No	Pf3D7_09_v3:905997-908357	KO	WT	OK	8.85863	23.1885	3.96101	0.00015	0.005311	yes	635737	FALSE
XLOC_000373	XLOC_000373	PF3D7_0218900		Plasmodium RNA of unknown function RUF2	No	Pf3D7_02_v3:767583-767743	KO	WT	OK	853.435	2232.28	1.50959	0.1507	0.487138	no	179359	FALSE
XLOC_000975	XLOC_000975	PF3D7_0515600		"conserved Plasmodium protein, unknown function"	No	Pf3D7_05_v3:646658-652106	KO	WT	OK	6.0871	15.6922	5.97476	5.00E-05	0.00198172	yes	646659	FALSE
XLOC_003177	XLOC_003177	PF3D7_1131600		"conserved Plasmodium protein, unknown function"	No	Pf3D7_11_v3:1216520-1224812	KO	WT	OK	1.91939	4.91955	5.48321	5.00E-05	0.00198172	yes	821819	FALSE
XLOC_000521	XLOC_000521	PF3D7_0300300	VAR	"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"	Yes	Pf3D7_03_v3:49771-51152	KO	WT	NOTEST	0.206427	0.527296	0	1	1	no	51152	TRUE
XLOC_000035	XLOC_000035	PF3D7_0107700		"conserved Plasmodium membrane protein, unknown function"	No	Pf3D7_01_v3:320167-321508	KO	WT	OK	2.78887	7.12386	2.97074	0.00335	0.0488787	yes	320168	FALSE
XLOC_000637	XLOC_000637	PF3D7_0323900	VAR	"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"	Yes	Pf3D7_03_v3:1002871-1004267	KO	WT	NOTEST	0.203545	0.519933	0	1	1	no	63704	TRUE
XLOC_003760	XLOC_003760	PF3D7_1247800	DPAP2	dipeptidyl aminopeptidase 2	No	Pf3D7_12_v3:1968162-1971074	KO	WT	OK	5.46099	13.8553	4.3109	0.00015	0.005311	yes	303331	FALSE
XLOC_005076	XLOC_005076	PF3D7_1455800	CCp2	LCCL domain-containing protein	No	Pf3D7_14_v3:2285112-2290227	KO	WT	OK	5.6517	14.2463	6.1166	5.00E-05	0.00198172	yes	1006823	FALSE
XLOC_000849	XLOC_000849	PF3D7_0414200		calmodulin-like protein	No	Pf3D7_04_v3:647388-648388	KO	WT	OK	391.87	985.163	1.12972	0.21125	0.567788	no	552102	FALSE
XLOC_005576	XLOC_005576	PF3D7_1471500	TMEM43	"conserved protein, unknown function"	No	Pf3D7_14_v3:2922350-2924557	KO	WT	OK	2.69173	6.74502	2.8678	0.00315	0.0464712	yes	367379	FALSE
XLOC_004291	XLOC_004291	PF3D7_1345600	PF3D7_1345600	inner membrane complex protein	No	Pf3D7_13_v3:1826410-1827649	KO	WT	OK	67.232	166.731	6.6035	5.00E-05	0.00198172	yes	1098825	FALSE
XLOC_003910	XLOC_003910	PF3D7_1219700	RKIP	raf kinase inhibitor	No	Pf3D7_12_v3:792876-793449	KO	WT	OK	22.0521	54.2387	3.65401	0.0003	0.00895112	yes	793449	FALSE
XLOC_000042	XLOC_000042	PF3D7_0109100	CCp5	LCCL domain-containing protein	No	Pf3D7_01_v3:365609-368795	KO	WT	OK	3.64303	8.95851	4.52481	5.00E-05	0.00198172	yes	275241	FALSE
XLOC_003046	XLOC_003046	PF3D7_1105900		"conserved Plasmodium membrane protein, unknown function"	No	Pf3D7_11_v3:254522-254921	KO	WT	OK	1.62276	3.98062	0.974016	0.423	0.764314	no	254523	FALSE
XLOC_003290	XLOC_003290	PF3D7_1103500		CPW-WPC family protein	No	Pf3D7_11_v3:151195-154519	KO	WT	OK	6.82639	16.7142	4.4702	5.00E-05	0.00198172	yes	154519	FALSE
XLOC_005021	XLOC_005021	PF3D7_1444600		"conserved Plasmodium protein, unknown function"	No	Pf3D7_14_v3:1841028-1841592	KO	WT	OK	29.6031	72.4054	2.33041	0.0142	0.124449	no	1450907	FALSE
XLOC_004097	XLOC_004097	PF3D7_1306500		"MORN repeat protein, putative"	No	Pf3D7_13_v3:300987-313929	KO	WT	OK	3.26302	7.90449	6.29759	5.00E-05	0.00198172	yes	300988	FALSE
XLOC_004704	XLOC_004704	PF3D7_1350000		"conserved Plasmodium protein, unknown function"	No	Pf3D7_13_v3:2003331-2005134	KO	WT	OK	5.26998	12.7398	2.66199	0.0066	0.0762013	no	920102	FALSE
XLOC_003007	XLOC_003007	PF3D7_1037800		"dynein intermediate chain, putative"	No	Pf3D7_10_v3:1497095-1502155	KO	WT	OK	1.9519	4.71149	3.4086	0.00035	0.00994037	yes	185501	FALSE
XLOC_003727	XLOC_003727	PF3D7_1242400		"GAS8-like protein, putative"	No	Pf3D7_12_v3:1795844-1797860	KO	WT	OK	5.87697	14.0819	3.66543	0.00045	0.0121936	yes	475649	FALSE
XLOC_005174	XLOC_005174	PF3D7_1474400		"conserved Plasmodium protein, unknown function"	No	Pf3D7_14_v3:3044128-3055248	KO	WT	OK	3.57084	8.54789	5.97733	5.00E-05	0.00198172	yes	247807	FALSE
XLOC_000896	XLOC_000896	PF3D7_0425100		"Plasmodium exported protein (hyp6), unknown function"	No	Pf3D7_04_v3:1134414-1135175	KO	WT	NOTEST	0.484308	1.13116	0	1	1	no	65315	TRUE
XLOC_002305	XLOC_002305	PF3D7_0916800		"conserved Plasmodium protein, unknown function"	No	Pf3D7_09_v3:703367-703517	KO	WT	OK	343.254	801.711	0.557516	0.4281	0.769681	no	703368	FALSE
XLOC_005363	XLOC_005363	PF3D7_1427700		"conserved Plasmodium protein, unknown function"	No	Pf3D7_14_v3:1087435-1087627	KO	WT	OK	167.694	391.669	0.861221	0.23385	0.598543	no	1087627	FALSE
XLOC_002217	XLOC_002217	PF3D7_0828900		"conserved Plasmodium protein, unknown function"	No	Pf3D7_08_v3:1241965-1242895	KO	WT	OK	27.3558	63.8285	3.60769	0.0006	0.014419	yes	229910	FALSE
XLOC_002218	XLOC_002218	PF3D7_0829400		"prolyl 4-hydroxylase subunit alpha, putative"	No	Pf3D7_08_v3:1257715-1259041	KO	WT	OK	16.6823	38.8209	5.00775	5.00E-05	0.00198172	yes	213764	FALSE
XLOC_003325	XLOC_003325	PF3D7_1110800		"conserved Plasmodium protein, unknown function"	No	Pf3D7_11_v3:430156-431476	KO	WT	OK	14.0848	32.6165	2.98632	0.00195	0.0340673	yes	431476	FALSE
XLOC_001674	XLOC_001674	PF3D7_0721700	PSOP1	"secreted ookinete protein, putative"	No	Pf3D7_07_v3:935496-936900	KO	WT	OK	27.7397	64.2016	5.70962	5.00E-05	0.00198172	yes	509710	FALSE
XLOC_001224	XLOC_001224	PF3D7_0530750	DPM3	"dolichol-phosphate mannosyltransferase subunit 3, putative"	No	Pf3D7_05_v3:1254281-1254796	KO	WT	OK	91.774	211.936	1.8828	0.0424	0.247458	no	88761	#N/A
XLOC_004644	XLOC_004644	PF3D7_1338800		CPW-WPC family protein	No	Pf3D7_13_v3:1564931-1567660	KO	WT	OK	8.70451	20.055	4.40249	5.00E-05	0.00198172	yes	1357576	FALSE
XLOC_002383	XLOC_002383	PF3D7_0929900		"conserved Plasmodium protein, unknown function"	No	Pf3D7_09_v3:1187662-1188850	KO	WT	OK	6.18036	14.0587	2.04985	0.0274	0.194029	no	354072	FALSE
XLOC_003049	XLOC_003049	PF3D7_1106400		"conserved Plasmodium protein, unknown function"	No	Pf3D7_11_v3:267546-267897	KO	WT	OK	22.4098	50.6925	1.74233	0.057	0.290721	no	267547	FALSE
XLOC_003254	XLOC_003254	PF3D7_1148100		unspecified product	No	Pf3D7_11_v3:1916391-1918050	KO	WT	OK	0.960546	2.17193	1.87026	0.039	0.234309	no	121948	FALSE
XLOC_003862	XLOC_003862	PF3D7_1210200		"zinc finger protein, putative"	No	Pf3D7_12_v3:458676-461679	KO	WT	OK	4.85686	10.9157	4.41741	5.00E-05	0.00198172	yes	461679	FALSE
XLOC_005160	XLOC_005160	PF3D7_1471700		"conserved Plasmodium protein, unknown function"	No	Pf3D7_14_v3:2929822-2931547	KO	WT	OK	5.11721	11.3838	3.51785	0.0008	0.0179274	yes	362113	FALSE
XLOC_003732	XLOC_003732	PF3D7_1243200	OST5	"conserved Plasmodium protein, unknown function"	No	Pf3D7_12_v3:1815310-1815562	KO	WT	OK	126.629	280.514	1.7141	0.06125	0.300091	no	456183	FALSE
XLOC_001594	XLOC_001594	PF3D7_0706700	MSH2-2	"DNA mismatch repair protein MSH2, putative"	No	Pf3D7_07_v3:322906-325528	KO	WT	OK	2.04056	4.51643	2.98886	0.00245	0.0384969	yes	322907	FALSE
XLOC_005159	XLOC_005159	PF3D7_1471600		"conserved Plasmodium protein, unknown function"	No	Pf3D7_14_v3:2926133-2929673	KO	WT	OK	3.09758	6.83809	3.93893	0.00025	0.0079506	yes	365802	FALSE
XLOC_000506	XLOC_000506	PF3D7_0322800		"conserved Plasmodium protein, unknown function"	No	Pf3D7_03_v3:964100-965203	KO	WT	OK	7.92052	17.4329	2.06718	0.025	0.183391	no	103870	FALSE
XLOC_003719	XLOC_003719	PF3D7_1240600	VAR	"erythrocyte membrane protein 1, PfEMP1"	No	Pf3D7_12_v3:1719573-1727456	KO	WT	OK	51.3831	112.73	5.75127	5.00E-05	0.00198172	yes	551920	FALSE
XLOC_005178	XLOC_005178	PF3D7_1475000	MED31	"mediator of RNA polymerase II transcription subunit 31, putative"	No	Pf3D7_14_v3:3075787-3076186	KO	WT	OK	2.43414	5.30749	1.02261	0.4828	0.806161	no	216148	FALSE
XLOC_004361	XLOC_004361	PF3D7_1359500		"conserved Plasmodium protein, unknown function"	No	Pf3D7_13_v3:2364425-2365235	KO	WT	OK	34.0041	74.1269	4.59437	5.00E-05	0.00198172	yes	560810	FALSE
XLOC_001535	XLOC_001535	PF3D7_0626600		"conserved Plasmodium protein, unknown function"	No	Pf3D7_06_v3:1073457-1073895	KO	WT	OK	23.4263	50.8179	2.39175	0.01115	0.109056	no	344347	FALSE
XLOC_001047	XLOC_001047	PF3D7_0531300		"conserved Plasmodium protein, unknown function"	No	Pf3D7_05_v3:1281288-1282254	KO	WT	OK	9.21835	19.9246	3.01221	0.0019	0.0336363	yes	62268	FALSE
XLOC_000589	XLOC_000589	PF3D7_0313600		"conserved Plasmodium protein, unknown function"	No	Pf3D7_03_v3:552000-554621	KO	WT	OK	8.93717	19.3147	4.19661	5.00E-05	0.00198172	yes	513350	FALSE
XLOC_002848	XLOC_002848	PF3D7_1007100		"conserved Plasmodium protein, unknown function"	No	Pf3D7_10_v3:286521-287473	KO	WT	OK	7.46993	16.1294	0.936898	0.34225	0.704361	no	287473	FALSE
XLOC_002300	XLOC_002300	PF3D7_0915800	GLTP	"glycolipid transfer protein, putative"	No	Pf3D7_09_v3:663917-664571	KO	WT	OK	10.487	22.5255	2.55855	0.00715	0.080795	no	663918	FALSE
XLOC_003226	XLOC_003226	PF3D7_1141100		"conserved Plasmodium protein, unknown function"	No	Pf3D7_11_v3:1649320-1657012	KO	WT	OK	1.89852	4.07718	4.24305	5.00E-05	0.00198172	yes	389019	FALSE
XLOC_001279	XLOC_001279	PF3D7_0609600		"conserved Plasmodium protein, unknown function"	No	Pf3D7_06_v3:408040-412002	KO	WT	OK	1.71989	3.68885	3.1177	0.00145	0.0281057	yes	408041	FALSE
XLOC_002702	XLOC_002702	PF3D7_1020300		"cytoplasmic dynein intermediate chain, putative"	No	Pf3D7_10_v3:819829-822139	KO	WT	OK	3.57033	7.64108	3.32128	0.0012	0.0244184	yes	819830	FALSE
XLOC_004358	XLOC_004358	PF3D7_1358600		"zinc finger protein, putative"	No	Pf3D7_13_v3:2322059-2325077	KO	WT	OK	4.57662	9.77777	4.04945	0.0001	0.00371399	yes	603176	FALSE
XLOC_004680	XLOC_004680	PF3D7_1345300		"conserved Plasmodium protein, unknown function"	No	Pf3D7_13_v3:1815074-1815548	KO	WT	OK	169.47	361.931	1.86578	0.0415	0.244353	no	1109688	FALSE
XLOC_002041	XLOC_002041	PF3D7_0829700		unspecified product	No	Pf3D7_08_v3:1271277-1272090	KO	WT	OK	3.83886	8.18602	1.99514	0.0276	0.19415	no	201527	FALSE
XLOC_003274	XLOC_003274	PF3D7_1100600		"Plasmodium exported protein (PHISTa), unknown function, pseudogene"	Yes	Pf3D7_11_v3:54422-55371	KO	WT	NOTEST	0.1	0.213077	0	1	1	no	55371	TRUE
XLOC_001034	XLOC_001034	PF3D7_0528500	CPalpha	"F-actin-capping protein subunit alpha, putative"	No	Pf3D7_05_v3:1174906-1177286	KO	WT	OK	11.3444	24.1125	1.43597	0.1033	0.399001	no	168650	FALSE
XLOC_002491	XLOC_002491	PF3D7_0911500		"conserved Plasmodium protein, unknown function"	No	Pf3D7_09_v3:526939-527978	KO	WT	OK	25.6553	54.1883	2.24442	0.0096	0.097861	no	527978	FALSE
