geneID,name,tsGenLoc,description,loc,dist2Telo,family,H3K9me3_Salcedo-Amaya_Asex,HP1_Flueck_Asex,H3K9me3.RPKM.Troph.Bunnik,H3K9me3.RPKM.Gam.Bunnik,H3K9me3_Bunnik_Asex,H3K9me3_Bunnik_GC,HP1.RPKM.Schizonts.Fraschka,HP1.RPKM.eGC.Fraschka,HP1.RPKM.lGC.Fraschka,HP1.GeneCluster.Fraschka,HP1_Fraschka_Asex,HP1_Fraschka_eGC,HP1_Fraschka_lGC,H3K9.GamAsex.log2Ratio,HP1.GamAsex.log2Ratio,Repressed_in_GC,Derepressed_in_GC
PF3D7_1008400,RPT2,Pf3D7_10_v3: 347206 - 348667 (-),"26S protease regulatory subunit 4, putative (RPT2)",0,348667,other,0,0,0.1,0.1,0,0,0.31,0.36,0.48,10,0,0,0,0,0.63076619,0,0
PF3D7_1130400,RPT5,Pf3D7_11_v3: 1168879 - 1170198 (+),"26S protease regulatory subunit 6A, putative (RPT5)",0,869461,other,0,0,0.1,0.1,0,0,0.38,0.54,0.43,12,0,0,0,0,0.178337241,0,0
PF3D7_0413600,RPT3,Pf3D7_04_v3: 616914 - 618350 (-),"26S protease regulatory subunit 6B, putative (RPT3)",0,582140,other,0,0,0.1,0.1,0,0,0.38,0.52,0.43,12,0,0,0,0,0.178337241,0,0
PF3D7_1311500,RPT1,Pf3D7_13_v3: 489927 - 491609 (-),"26S protease regulatory subunit 7, putative (RPT1)",0,491609,other,0,0,0.1,0.1,0,0,0.21,0.34,0.44,10,0,0,0,0,1.067114196,0,0
PF3D7_1248900,RPT6,Pf3D7_12_v3: 2002723 - 2004030 (-),"26S protease regulatory subunit 8, putative (RPT6)",0,267464,other,0,0,0.1,0.1,0,0,0.45,0.47,0.46,12,0,0,0,0,0.03170886,0,0
PF3D7_1017900,RPN5,Pf3D7_10_v3: 715878 - 717437 (+),"26S proteasome regulatory subunit p55, putative (RPN5)",0,715878,proteasome,0,0,0.1,0.1,0,0,0.3,0.5,0.48,12,0,0,0,0,0.678071905,0,0
PF3D7_0205900,RPN1,Pf3D7_02_v3: 235237 - 238816 (+),"26S proteasome regulatory subunit RPN1, putative (RPN1)",0,235237,proteasome,0,0,0.1,0.1,0,0,0.21,0.35,0.56,10,0,0,0,0,1.415037499,0,0
PF3D7_0807800,RPN10,Pf3D7_08_v3: 399591 - 401360 (-),"26S proteasome regulatory subunit RPN10, putative (RPN10)",0,401360,proteasome,0,0,0.1,0.1,0,0,0.18,0.46,0.37,10,0,0,0,0,1.039528364,0,0
PF3D7_1368100,RPN11,Pf3D7_13_v3: 2710406 - 2711718 (-),"26S proteasome regulatory subunit RPN11, putative (RPN11)",0,213518,proteasome,0,0,4.2,0.1,0,0,0.39,0.39,0.46,10,0,0,0,-5.392317423,0.238159737,0,0
PF3D7_0312300,RPN12,Pf3D7_03_v3: 521969 - 522883 (+),"26S proteasome regulatory subunit RPN12, putative (RPN12)",0,521969,proteasome,0,0,0.1,0.1,0,0,0.36,0.5,0.47,12,0,0,0,0,0.38466385,0,0
PF3D7_1414000,RPN13,Pf3D7_14_v3: 553639 - 555772 (-),"26S proteasome regulatory subunit RPN13, putative (RPN13)",0,555772,proteasome,0,0,0.1,0.1,0,0,0.21,0.42,0.38,10,0,0,0,0,0.855610091,0,0
PF3D7_1466300,RPN2,Pf3D7_14_v3: 2709418 - 2713192 (+),"26S proteasome regulatory subunit RPN2, putative (RPN2)",0,582518,proteasome,0,0,0.1,0.1,0,0,0.35,0.4,0.48,10,0,0,0,0,0.455679484,0,0
PF3D7_1338100,RPN3,Pf3D7_13_v3: 1542080 - 1543981 (+),"26S proteasome regulatory subunit RPN3, putative (RPN3)",0,1383156,proteasome,0,0,0.1,0.1,0,0,0.38,0.43,0.49,10,0,0,0,0,0.366782331,0,0
PF3D7_1402300,RPN6,Pf3D7_14_v3: 85883 - 87883 (-),26S proteasome regulatory subunit RPN6 (RPN6),0,87883,proteasome,0,0,0.1,0.1,0,0,0.43,0.5,0.5,12,0,0,0,0,0.217591435,0,0
PF3D7_1129200,RPN7,Pf3D7_11_v3: 1128774 - 1130813 (+),"26S proteasome regulatory subunit RPN7, putative (RPN7)",0,909566,proteasome,0,0,0.1,0.1,0,0,0.32,0.45,0.42,10,0,0,0,0,0.392317423,0,0
PF3D7_0912900,RPN8,Pf3D7_09_v3: 567283 - 568640 (+),"26S proteasome regulatory subunit RPN8, putative (RPN8)",0,567283,proteasome,0,0,0.1,0.1,0,0,0.46,0.6,0.52,11,0,0,0,0,0.176877762,0,0
PF3D7_1030500,RPN9,Pf3D7_10_v3: 1244215 - 1245396 (+),"26S proteasome regulatory subunit RPN9, putative (RPN9)",0,443441,proteasome,0,0,0.1,3.6,0,0,0.31,0.54,0.46,12,0,0,0,5.169925001,0.569365646,0,0
PF3D7_1030900,P28,Pf3D7_10_v3: 1251151 - 1251807 (-),28 kDa ookinete surface protein (P28),parasiteSurface,435849,other,0,0,0.1,0.1,0,0,0.37,0.7,0.49,11,0,0,0,0,0.405256478,0,0
PF3D7_0112700,PF3D7_0112700 rRNA,Pf3D7_01_v3: 477279 - 481382 (+),28S ribosomal RNA,0,163572,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_0532000,PF3D7_0532000 rRNA,Pf3D7_05_v3: 1292410 - 1296199 (+),28S ribosomal RNA,0,51147,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_0726000,PF3D7_0726000 rRNA,Pf3D7_07_v3: 1086570 - 1090357 (+),28S ribosomal RNA,0,358637,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_0801100,PF3D7_0801100 rRNA,Pf3D7_08_v3: 91397 - 97571 (-),28S ribosomal RNA,0,97571,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_0830200,PF3D7_0830200 rRNA,Pf3D7_08_v3: 1284578 - 1287755 (+),28S ribosomal RNA,0,188227,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_1148640,PF3D7_1148640 rRNA,Pf3D7_11_v3:1928934 - 1933138(+),28S ribosomal RNA,0,112345,rRNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
PF3D7_1371300,PF3D7_1371300 rRNA,Pf3D7_13_v3: 2802945 - 2807159 (+),28S ribosomal RNA,0,122291,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_0209300,IspF,Pf3D7_02_v3: 387273 - 388151 (+),"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (IspF)",secretoryPathway,387273,other,0,0,1.6,0.1,0,0,0.28,0.42,0.44,10,0,0,0,-4,0.652076697,0,0
PF3D7_0724300,COQ3,Pf3D7_07_v3: 1021508 - 1022630 (+),"3-demethylubiquinone-9 3-methyltransferase, putative (COQ3)",0,423699,other,0,0,0.1,0.1,0,0,0.3,0.56,0.46,12,0,0,0,0,0.61667136,0,0
PF3D7_1240000,PF3D7_1240000 protein,Pf3D7_12_v3: 1682835 - 1684460 (+),"3-hydroxyisobutyryl-coenzyme A hydrolase, putative",0,588659,other,0,0,0.1,0.1,0,0,0.42,0.61,0.53,11,0,0,0,0,0.335603032,0,0
PF3D7_1135900,PF3D7_1135900 protein,Pf3D7_11_v3: 1398486 - 1400601 (-),"3-oxo-5-alpha-steroid 4-dehydrogenase, putative",intergralMembrane,637739,other,0,0,0.1,0.1,0,0,0.32,0.44,0.49,10,0,0,0,0,0.614709844,0,0
PF3D7_0922900,FabG,Pf3D7_09_v3: 936868 - 938345 (-),3-oxoacyl-[acyl-carrier-protein] reductase (FabG),apicoplast,603390,other,0,0,0.1,0.1,0,0,0.39,0.41,0.39,10,0,0,0,0,0,0,0
PF3D7_0626300,FabB/FabF,Pf3D7_06_v3: 1061115 - 1062891 (-),3-oxoacyl-acyl-carrier protein synthase I/II (FabB/FabF),apicoplast,355351,other,0,0,0.1,0.1,0,0,0.28,0.5,0.5,12,0,0,0,0,0.836501268,0,0
PF3D7_0204800,PF3D7_0204800 protein,Pf3D7_02_v3: 209583 - 210833 (-),"3'-5' exonuclease, putative",mitochondrion,210833,other,0,0,0.1,9.2,0,0,0.36,0.45,0.5,12,0,0,0,6.523561956,0.473931188,0,0
PF3D7_1321500,PDEbeta,Pf3D7_13_v3: 890106 - 894782 (-),"3',5'-cyclic nucleotide phosphodiesterase, putative (PDEbeta)",intergralMembrane,894782,other,0,0,0.1,0.1,0,0,0.38,0.56,0.49,12,0,0,0,0,0.366782331,0,0
PF3D7_0209200,PF3D7_0209200 protein,Pf3D7_02_v3: 384865 - 386580 (-),"3'exoribonuclease, putative",0,386580,other,0,0,0.1,0.1,0,0,0.38,0.42,0.41,10,0,0,0,0,0.109624491,0,0
PF3D7_1413400,PF3D7_1413400 protein,Pf3D7_14_v3: 534057 - 535988 (-),"30S ribosomal protein S9, putative",secretoryPathway,535988,ribosome,0,0,0.1,0.1,0,0,0.39,0.39,0.48,10,0,0,0,0,0.299560282,0,0
PF3D7_0503100,IspE,Pf3D7_05_v3: 127064 - 128677 (-),"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, putative (IspE)",apicoplast,128677,other,0,0,0.1,0.1,0,0,0.42,0.6,0.42,12,0,0,0,0,0,0,0
PF3D7_1022800,GcpE,Pf3D7_10_v3: 955883 - 958357 (+),4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (GcpE),apicoplast,731773,other,0,0,0.1,0.1,0,0,0.29,0.49,0.52,12,0,0,0,0,0.842458723,0,0
PF3D7_0104400,LytB,Pf3D7_01_v3: 202536 - 204143 (+),4-hydroxy-3-methylbut-2-enyl diphosphate reductase (LytB),apicoplast,202536,other,0,0,0.1,0.1,0,0,0.43,0.48,0.45,12,0,0,0,0,0.065588342,0,0
PF3D7_0715000,PNPase,Pf3D7_07_v3: 673451 - 674419 (+),4-nitrophenylphosphatase (PNPase),0,673451,other,0,0,0.1,0.1,0,0,0.44,0.46,0.46,12,0,0,0,0,0.064130337,0,0
PF3D7_0719700,PF3D7_0719700 protein,Pf3D7_07_v3: 861583 - 862487 (+),"40S ribosomal protein S10, putative",0,583624,ribosome,0,0,5.3,0.1,0,0,0.22,0.44,0.39,10,0,0,0,-5.727920455,0.8259706,0,0
PF3D7_0516200,PF3D7_0516200 protein,Pf3D7_05_v3: 675809 - 676614 (-),40S ribosomal protein S11,0,666943,ribosome,0,0,0.1,0.1,0,0,0.3,0.44,0.48,10,0,0,0,0,0.678071905,0,0
PF3D7_0317600,RPS11,Pf3D7_03_v3: 725015 - 726130 (+),"40S ribosomal protein S11, putative (RPS11)",0,342956,ribosome,0,0,0.1,0.1,0,0,0.29,0.43,0.48,10,0,0,0,0,0.726981506,0,0
PF3D7_0307100,PF3D7_0307100 protein,Pf3D7_03_v3: 312693 - 313342 (-),"40S ribosomal protein S12, putative",0,313342,ribosome,0,0,0.1,0.1,0,0,0.25,0.53,0.43,12,0,0,0,0,0.782408565,0,0
PF3D7_1358800,RPS15,Pf3D7_13_v3: 2331074 - 2331529 (+),40S ribosomal protein S15 (RPS15),0,594162,ribosome,0,0,1.9,0.1,0,0,0.35,0.42,0.49,10,0,0,0,-4.247927513,0.485426827,0,0
PF3D7_0316800,PF3D7_0316800 protein,Pf3D7_03_v3: 677842 - 678474 (+),"40S ribosomal protein S15A, putative",0,390129,ribosome,0,0,0.1,0.1,0,0,0.32,0.56,0.43,12,0,0,0,0,0.426264755,0,0
PF3D7_0813900,PF3D7_0813900 protein,Pf3D7_08_v3: 677989 - 678725 (-),"40S ribosomal protein S16, putative",0,678725,ribosome,0,0,0.1,0.1,0,0,0.38,0.41,0.5,10,0,0,0,0,0.395928676,0,0
PF3D7_1242700,PF3D7_1242700 protein,Pf3D7_12_v3: 1803653 - 1804483 (+),"40S ribosomal protein S17, putative",0,467841,ribosome,0,0,0.1,0.1,0,0,0.3,0.38,0.4,10,0,0,0,0,0.415037499,0,0
PF3D7_1126200,PF3D7_1126200 protein,Pf3D7_11_v3: 1023790 - 1024496 (-),"40S ribosomal protein S18, putative",0,1013844,ribosome,0,0,0.1,0.1,0,0,0.25,0.49,0.48,12,0,0,0,0,0.941106311,0,0
PF3D7_0422400,RPS19,Pf3D7_04_v3: 1026648 - 1027399 (+),40S ribosomal protein S19 (RPS19),0,173842,ribosome,0,0,0.1,0.1,0,0,0.48,0.47,0.49,12,0,0,0,0,0.029747343,0,0
PF3D7_1317800,RPS19,Pf3D7_13_v3: 740527 - 741454 (+),40S ribosomal protein S19 (RPS19),0,740527,ribosome,0,0,0.1,0.1,0,0,0.28,0.41,0.42,10,0,0,0,0,0.584962501,0,0
PF3D7_1026800,RPS2,Pf3D7_10_v3: 1122962 - 1124037 (+),40S ribosomal protein S2 (RPS2),0,564694,ribosome,0,0,2.6,0.1,0,0,0.3,0.54,0.52,12,0,0,0,-4.700439718,0.793549123,0,0
PF3D7_1003500,PF3D7_1003500 protein,Pf3D7_10_v3: 160316 - 160962 (-),"40S ribosomal protein S20e, putative",0,160962,ribosome,0,0,1.1,0.1,0,0,0.42,0.46,0.46,10,0,0,0,-3.459431619,0.131244533,0,0
PF3D7_1144000,RPS21,Pf3D7_11_v3: 1755438 - 1755935 (+),40S ribosomal protein S21 (RPS21),0,282902,ribosome,0,0,7.9,0.1,0,0,0.36,0.47,0.52,12,0,0,0,-6.303780748,0.530514717,0,0
PF3D7_0306900,PF3D7_0306900 protein,Pf3D7_03_v3: 310652 - 311805 (+),"40S ribosomal protein S23, putative",0,310652,ribosome,0,0,0.1,0.1,0,0,0.27,0.46,0.35,10,0,0,0,0,0.374395515,0,0
PF3D7_0519400,RPS24,Pf3D7_05_v3: 798036 - 798775 (-),40S ribosomal protein S24 (RPS24),0,544782,ribosome,0,0,0.1,0.1,0,0,0.3,0.5,0.45,12,0,0,0,0,0.584962501,0,0
PF3D7_1421200,RPS25,Pf3D7_14_v3: 875687 - 876385 (-),40S ribosomal protein S25 (RPS25),0,876385,ribosome,0,0,0.1,0.1,0,0,0.23,0.35,0.35,10,0,0,0,0,0.605721061,0,0
PF3D7_0217800,RPS26,Pf3D7_02_v3: 734272 - 734595 (+),40S ribosomal protein S26 (RPS26),0,212830,ribosome,0,0,0.1,0.1,0,0,0.4,0.37,0.44,10,0,0,0,0,0.137503524,0,0
PF3D7_1308300,RPS27,Pf3D7_13_v3: 372260 - 372646 (+),40S ribosomal protein S27 (RPS27),0,372260,ribosome,0,0,9,0.1,0,0,0.27,0.43,0.52,10,0,0,0,-6.491853096,0.945552216,0,0
PF3D7_1461300,PF3D7_1461300 protein,Pf3D7_14_v3: 2492166 - 2492369 (+),"40S ribosomal protein S28e, putative",0,799770,ribosome,0,0,5.1,0.1,0,0,0.3,0.42,0.46,10,0,0,0,-5.672425342,0.61667136,0,0
PF3D7_0705700,PF3D7_0705700 protein,Pf3D7_07_v3: 285472 - 286166 (-),"40S ribosomal protein S29, putative",0,286166,ribosome,0,0,2.7,0.1,0,0,0.23,0.6,0.36,12,0,0,0,-4.754887502,0.646363045,0,0
PF3D7_1465900,PF3D7_1465900 protein,Pf3D7_14_v3: 2684141 - 2685534 (+),40S ribosomal protein S3,0,607795,ribosome,0,0,5.8,0.1,0,0,0.26,0.43,0.34,10,0,0,0,-5.857980995,0.387023123,0,0
PF3D7_0219200,PF3D7_0219200 protein,Pf3D7_02_v3: 772316 - 772690 (+),40S ribosomal protein S30,0,174786,ribosome,0,0,0.1,0.1,0,0,0.3,0.37,0.47,10,0,0,0,0,0.647698256,0,0
PF3D7_0322900,PF3D7_0322900 protein,Pf3D7_03_v3: 965553 - 966502 (-),"40S ribosomal protein S3A, putative",0,101469,ribosome,0,0,0.1,0.1,0,0,0.5,0.47,0.45,12,0,0,0,0,-0.152003093,0,0
PF3D7_1105400,PF3D7_1105400 protein,Pf3D7_11_v3: 235597 - 237097 (-),"40S ribosomal protein S4, putative",0,237097,ribosome,0,0,0.1,0.1,0,0,0.19,0.29,0.38,10,0,0,0,0,1,0,0
PF3D7_1447000,PF3D7_1447000 protein,Pf3D7_14_v3: 1929931 - 1931379 (+),40S ribosomal protein S5,0,1362005,ribosome,0,0,0.1,0.1,0,0,0.23,0.42,0.5,10,0,0,0,0,1.120294234,0,0
PF3D7_0721600,PF3D7_0721600 protein,Pf3D7_07_v3: 931459 - 932164 (-),"40S ribosomal protein S5, putative",0,513043,ribosome,0,0,0.1,0.1,0,0,0.37,0.5,0.57,12,0,0,0,0,0.623436649,0,0
PF3D7_1342000,PF3D7_1342000 protein,Pf3D7_13_v3: 1653211 - 1654131 (-),40S ribosomal protein S6,0,1271105,ribosome,0,0,0.1,0.1,0,0,0.43,0.68,0.52,11,0,0,0,0,0.274174963,0,0
PF3D7_1302800,PF3D7_1302800 protein,Pf3D7_13_v3: 150783 - 151635 (-),"40S ribosomal protein S7, putative",0,151635,ribosome,0,0,0.1,0.1,0,0,0.34,0.41,0.52,10,0,0,0,0,0.612976877,0,0
PF3D7_1408600,PF3D7_1408600 protein,Pf3D7_14_v3: 323317 - 324172 (+),"40S ribosomal protein S8e, putative",0,323317,ribosome,0,0,0.1,0.1,0,0,0.29,0.52,0.48,12,0,0,0,0,0.726981506,0,0
PF3D7_0520000,PF3D7_0520000 protein,Pf3D7_05_v3: 828953 - 829883 (+),"40S ribosomal protein S9, putative",0,514604,ribosome,0,0,0.1,0.1,0,0,0.32,0.41,0.4,10,0,0,0,0,0.321928095,0,0
PF3D7_0112500,PF3D7_0112500 rRNA,Pf3D7_01_v3: 476282 - 476402 (+),5.8S ribosomal RNA,0,164564,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_0531800,PF3D7_0531800 rRNA,Pf3D7_05_v3: 1292052 - 1292210 (+),5.8S ribosomal RNA,0,51505,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_0725800,PF3D7_0725800 rRNA,Pf3D7_07_v3: 1086213 - 1086371 (+),5.8S ribosomal RNA,0,358994,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_0801200,PF3D7_0801200 rRNA,Pf3D7_08_v3: 98890 - 99051 (-),5.8S ribosomal RNA,0,99051,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_0830000,PF3D7_0830000 rRNA,Pf3D7_08_v3: 1280004 - 1280114 (+),5.8S ribosomal RNA,0,192801,rRNA,0,0,16.9,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,-7.400879436,NA,0,0
PF3D7_1148620,PF3D7_1148620 rRNA,Pf3D7_11_v3:1928510 - 1928677(+),5.8S ribosomal RNA,0,112345,rRNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
PF3D7_1371200,PF3D7_1371200 rRNA,Pf3D7_13_v3: 2802527 - 2802686 (+),5.8S ribosomal RNA,0,122709,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_0203900,PF3D7_0203900 protein,Pf3D7_02_v3: 176567 - 178300 (+),"5'-3' exonuclease, N-terminal resolvase-like domain, putative",apicoplast,176567,other,0,0,0.1,0.1,0,0,0.39,0.5,0.49,12,0,0,0,0,0.329307625,0,0
PF3D7_1210000,RPL1,Pf3D7_12_v3: 452595 - 453828 (+),"50S ribosomal protein L1, apicoplast, putative (RPL1)",apicoplast,452595,apicoRibosome,0,0,0.1,0.1,0,0,0.29,0.56,0.5,12,0,0,0,0,0.785875195,0,0
PF3D7_0710900,RPL1,Pf3D7_07_v3: 484838 - 486037 (+),"50S ribosomal protein L1, mitochondrial, putative (RPL1)",mitochondrion,484838,mitoRibosome,0,0,0.1,0.1,0,0,0.38,0.56,0.55,11,0,0,0,0,0.5334322,0,0
PF3D7_0413800,PF3D7_0413800 protein,Pf3D7_04_v3: 622094 - 622936 (+),"50S ribosomal protein L10, putative",secretoryPathway,578396,ribosome,0,0,0.1,2.5,0,0,0.45,0.53,0.48,12,0,0,0,4.64385619,0.093109404,0,0
PF3D7_0524600,PF3D7_0524600 protein,Pf3D7_05_v3: 1017809 - 1018582 (+),"50S ribosomal protein L12, apicoplast, putative",apicoplast,325748,apicoRibosome,0,0,3.6,0.1,0,0,0.3,0.47,0.41,10,0,0,0,-5.169925001,0.450661409,0,0
PF3D7_0522500,RPL17,Pf3D7_05_v3: 937231 - 938037 (+),"50S ribosomal protein L17, apicoplast, putative (RPL17)",apicoplast,406326,apicoRibosome,0,0,0.2,0.1,0,0,0.31,0.47,0.45,10,0,0,0,-1,0.537656786,0,0
PF3D7_1467400,L22,Pf3D7_14_v3: 2753136 - 2754020 (-),"50S ribosomal protein L22, apicoplast, putative (L22)",apicoplast,537916,apicoRibosome,0,0,0.1,0.1,0,0,0.4,0.4,0.43,10,0,0,0,0,0.10433666,0,0
PF3D7_1010800,PF3D7_1010800 protein,Pf3D7_10_v3: 424866 - 425765 (-),"50S ribosomal protein L22, mitochondrial, putative",mitochondrion,425765,mitoRibosome,0,0,0.1,12.5,0,0,0.42,0.43,0.56,12,0,0,0,6.965784285,0.415037499,0,0
PF3D7_0605000,PF3D7_0605000 protein,Pf3D7_06_v3: 213558 - 214142 (+),"50S ribosomal protein L24, putative",0,213558,ribosome,0,0,0.1,0.1,0,0,0.47,0.46,0.45,12,0,0,0,0,-0.062735755,0,0
