geneID,name,tsGenLoc,chr,start,stop,strand,upstreamGenLoc,type,exons,tsLength,spliceAlt,pseudo,description,tmDom,signalP,loc,dist2Telo,subtelo.HP1,altName,ap2gMotifs_1k,ap2gMotifs_3k,family,cvge,heterochrom,hda2KD,hp1KD,combined,trophPep,egcPep,lgcPep,eGC.Troph.ratio,lGC.Troph.ratio,ap2gDD.t3h,ap2gDD.t9h,ap2gDD.t15h,ap2gDD.t21h,ap2gDD.t27h,ap2gDD.t33h,ap2gDD.t39h,ap2gDD.t45h,ap2gDD.t57h,ap2gDD.t69h,ap2gDD.t81h
PF3D7_0101100,EPF4,Pf3D7_01_v3: 69304 - 70417 (-),Pf3D7_01_v3,69304,70417,(-),Pf3D7_01_v3: 71021 - 70418 (-),protein,2,930,0,0,exported protein family 4 (EPF4),3,1,exported,70417,TRUE,EPF4,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0101200,EPF3,Pf3D7_01_v3: 71624 - 72426 (+),Pf3D7_01_v3,71624,72426,(+),Pf3D7_01_v3: 71022 - 71623 (+),protein,2,693,0,0,exported protein family 3 (EPF3),1,1,exported,71624,TRUE,EPF3,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0101300,MC-2TM PF3D7_0101300,Pf3D7_01_v3: 74563 - 75366 (+),Pf3D7_01_v3,74563,75366,(+),Pf3D7_01_v3: 72427 - 74562 (+),protein,2,708,0,0,Pfmc-2TM Maurer's cleft two transmembrane protein (MC-2TM),3,1,exported,74563,TRUE,MC-2TM PF3D7_0101300,0,0,Pfmc-2TM,1,1,1,1,4,0,0,0,0.991694698,0.991694698,0.61,0.34,-0.48,0.09,-0.4,-0.44,-0.76,-0.27,-1.53,-0.61,0.05
PF3D7_0101400,EPF1,Pf3D7_01_v3: 75982 - 76809 (-),Pf3D7_01_v3,75982,76809,(-),Pf3D7_01_v3: 77525 - 76810 (-),protein,1,828,0,1,"exported protein family 1, pseudogene (EPF1)",0,1,exported,76809,TRUE,EPF1,0,0,other,0,1,0,0,1,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0101500,VAR PF3D7_0101500,Pf3D7_01_v3: 78241 - 79891 (+),Pf3D7_01_v3,78241,79891,(+),Pf3D7_01_v3: 77526 - 78240 (+),protein,3,1647,0,1,"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)",0,0,exported,78241,TRUE,VAR PF3D7_0101500,0,0,var,0,0,1,0,1,0,0,0,0.991694698,0.991694698,-0.01,0.13,-0.65,-0.1,-0.15,0.33,-0.19,0.36,-0.65,-0.23,0.19
PF3D7_0101600,RIF PF3D7_0101600,Pf3D7_01_v3: 81765 - 83106 (-),Pf3D7_01_v3,81765,83106,(-),Pf3D7_01_v3: 84790 - 83107 (-),protein,2,1110,0,0,rifin (RIF),1,0,exported,83106,TRUE,RIF PF3D7_0101600,0,0,rifin,0,1,0,0,1,0,0,0,0.991694698,0.991694698,-0.01,0.1,-1.86,1.98,0.77,0.2,-0.09,-0.03,-0.91,-0.13,-0.01
PF3D7_0101700,VAR PF3D7_0101700,Pf3D7_01_v3: 84791 - 86152 (-),Pf3D7_01_v3,84791,86152,(-),Pf3D7_01_v3: 87202 - 86153 (-),protein,3,1359,0,1,"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)",4,0,exported,86152,TRUE,VAR PF3D7_0101700,0,0,var,0,1,0,0,1,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0101800,STEVOR PF3D7_0101800,Pf3D7_01_v3: 87203 - 88177 (-),Pf3D7_01_v3,87203,88177,(-),Pf3D7_01_v3: 90241 - 88178 (-),protein,2,870,0,0,stevor,3,1,exported,88177,TRUE,STEVOR PF3D7_0101800,0,1,stevor,0,1,0,0,1,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0101900,RIF PF3D7_0101900,Pf3D7_01_v3: 90242 - 91420 (-),Pf3D7_01_v3,90242,91420,(-),Pf3D7_01_v3: 93112 - 91421 (-),protein,2,1032,0,0,rifin (RIF),1,1,exported,91420,TRUE,RIF PF3D7_0101900,0,1,rifin,0,1,0,0,1,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0102000,PF3D7_0102000 protein,Pf3D7_01_v3: 93113 - 93875 (-),Pf3D7_01_v3,93113,93875,(-),Pf3D7_01_v3: 94463 - 93876 (-),protein,3,759,0,1,"Plasmodium exported protein (PHISTa), unknown function, pseudogene",0,0,exported,93875,TRUE,PF3D7_0102000 protein,0,0,PHISTa,1,1,0,0,2,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0102100,STEVOR PF3D7_0102100,Pf3D7_01_v3: 95050 - 95899 (+),Pf3D7_01_v3,95050,95899,(+),Pf3D7_01_v3: 94464 - 95049 (+),protein,4,846,0,1,"stevor, pseudogene",2,0,exported,95050,TRUE,STEVOR PF3D7_0102100,0,0,stevor,0,1,0,0,1,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0102200,RESA,Pf3D7_01_v3: 98819 - 102282 (+),Pf3D7_01_v3,98819,102282,(+),Pf3D7_01_v3: 95900 - 98818 (+),protein,2,3258,0,0,ring-infected erythrocyte surface antigen (RESA),0,0,exported,98819,FALSE,RESA,0,0,RESA,1,0,1,0,2,0,3,3,9.225314375,9.225314375,-0.26,0.06,0.22,0.57,0.13,0.29,0.01,-0.41,0.14,0.21,-0.31
PF3D7_0102300,PF3D7_0102300 protein,Pf3D7_01_v3: 104704 - 105209 (+),Pf3D7_01_v3,104704,105209,(+),Pf3D7_01_v3: 102283 - 104703 (+),protein,2,354,0,0,"Plasmodium exported protein, unknown function",0,1,exported,104704,FALSE,PF3D7_0102300 protein,0,1,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,0.01,0.07,-0.39,-0.59,-0.33,-0.07,0.03,0.2,-0.17,-0.65,0.24
PF3D7_0102400,PF3D7_0102400 protein,Pf3D7_01_v3: 107197 - 108348 (-),Pf3D7_01_v3,107197,108348,(-),Pf3D7_01_v3: 110749 - 108349 (-),protein,1,1152,0,1,"lysophospholipase, putative, pseudogene",0,0,0,108348,FALSE,PF3D7_0102400 protein,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.06,0.19,-0.26,0.3,0.58,0.48,0.18,0.63,-0.34,-0.01,0.58
PF3D7_0102500,EBA181,Pf3D7_01_v3: 110750 - 115799 (-),Pf3D7_01_v3,110750,115799,(-),Pf3D7_01_v3: 119040 - 115800 (-),protein,4,4704,0,0,erythrocyte binding antigen-181 (EBA181),2,1,microneme,115799,FALSE,EBA181,0,4,invasion/motility,0,0,1,0,1,0,0,0,0.991694698,0.991694698,-0.16,0.12,-0.14,-0.13,0.15,0.05,-0.67,-0.56,0.12,-0.19,-0.03
PF3D7_0102600,FIKK1,Pf3D7_01_v3: 119041 - 121249 (-),Pf3D7_01_v3,119041,121249,(-),Pf3D7_01_v3: 122883 - 121250 (-),protein,3,1893,0,0,"serine/threonine protein kinase, FIKK family (FIKK1)",1,1,exported,121249,FALSE,FIKK1,0,0,FIKK,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.05,0.03,-0.1,-0.32,-0.33,0.17,0.38,0.01,-0.31,0.06,-0.04
PF3D7_0102700,MaTrA,Pf3D7_01_v3: 124517 - 125484 (+),Pf3D7_01_v3,124517,125484,(+),Pf3D7_01_v3: 122884 - 124516 (+),protein,2,831,0,0,merozoite-associated tryptophan-rich antigen (MaTrA),0,1,secretoryPathway,124517,FALSE,MaTrA,0,2,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,0.29,0.04,0.18,0.16,0.29,0.77,0.3,-0.38,-0.35,0.01,0.17
PF3D7_0102800,PF3D7_0102800 protein,Pf3D7_01_v3: 126318 - 128141 (-),Pf3D7_01_v3,126318,128141,(-),Pf3D7_01_v3: 128959 - 128142 (-),protein,1,1824,0,0,"conserved Plasmodium protein, unknown function",3,0,secretoryPathway,128141,FALSE,PF3D7_0102800 protein,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,0.12,-0.07,-0.15,-0.34,0.11,0.04,-0.1,0.1,0.18,-0.63,0.29
PF3D7_0102900,PF3D7_0102900 protein,Pf3D7_01_v3: 128960 - 130840 (-),Pf3D7_01_v3,128960,130840,(-),Pf3D7_01_v3: 132085 - 130841 (-),protein,1,1881,0,0,aspartate--tRNA ligase,0,0,0,130840,FALSE,PF3D7_0102900 protein,0,1,other,0,0,0,0,0,19,13,13,0.444557128,0.444557128,-0.09,-0.17,-0.29,0.01,-0.09,0.02,0.09,-0.15,-0.23,-0.29,0.12
PF3D7_0103000,PF3D7_0103000 protein,Pf3D7_01_v3: 132086 - 133624 (-),Pf3D7_01_v3,132086,133624,(-),Pf3D7_01_v3: 134352 - 133625 (-),protein,7,780,0,0,"vacuolar protein sorting-associated protein VTA1, putative",0,0,0,133624,FALSE,PF3D7_0103000 protein,1,1,other,0,0,0,0,0,3,0,0,-7.241924979,-7.241924979,0.05,-0.29,0.16,-0.18,0.21,-0.08,-0.19,0.28,-0.26,0.24,0.24
PF3D7_0103100,VPS51,Pf3D7_01_v3: 134353 - 139257 (-),Pf3D7_01_v3,134353,139257,(-),Pf3D7_01_v3: 140661 - 139258 (-),protein,1,4905,0,0,"vacuolar protein sorting-associated protein 51, putative (VPS51)",0,0,0,139257,FALSE,VPS51,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.12,-0.2,0.02,-0.1,-0.01,-0.05,0,0.06,-0.01,0.23,-0.15
PF3D7_0103200,NT4,Pf3D7_01_v3: 140662 - 142219 (-),Pf3D7_01_v3,140662,142219,(-),Pf3D7_01_v3: 143639 - 142220 (-),protein,2,1305,0,0,nucleoside transporter 4 (NT4),11,1,intergralMembrane,142219,FALSE,NT4,0,0,other,0,0,0,0,0,4,0,0,-7.655763729,-7.655763729,-0.04,0.09,0.01,-0.07,0.39,0.12,0.11,0.99,-0.23,-0.38,0.23
PF3D7_0103300,PF3D7_0103300 protein,Pf3D7_01_v3: 143640 - 146396 (-),Pf3D7_01_v3,143640,146396,(-),Pf3D7_01_v3: 147914 - 146397 (-),protein,1,2757,0,0,"conserved Plasmodium protein, unknown function",0,0,0,146396,FALSE,PF3D7_0103300 protein,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,0,-0.01,0.01,0.19,0.01,-0.07,-0.16,-0.3,-0.17,-0.12,-0.05
PF3D7_0103400,PF3D7_0103400 protein,Pf3D7_01_v3: 147915 - 152777 (-),Pf3D7_01_v3,147915,152777,(-),Pf3D7_01_v3: 153477 - 152778 (-),protein,1,4863,0,0,"zinc-carboxypeptidase, putative",0,0,0,152777,FALSE,PF3D7_0103400 protein,2,2,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.05,0.06,-0.03,-0.03,-0.08,0.13,-0.05,-0.49,0.29,0.01,-0.29
PF3D7_0103500,PF3D7_0103500 protein,Pf3D7_01_v3: 154176 - 160426 (+),Pf3D7_01_v3,154176,160426,(+),Pf3D7_01_v3: 153478 - 154175 (+),protein,7,5472,0,0,"conserved Plasmodium protein, unknown function",1,0,secretoryPathway,154176,FALSE,PF3D7_0103500 protein,2,2,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.02,0.01,0.12,-0.18,-0.09,0.06,-0.01,-0.01,0.65,0,0.09
PF3D7_0103600,PF3D7_0103600 protein,Pf3D7_01_v3: 161131 - 166229 (+),Pf3D7_01_v3,161131,166229,(+),Pf3D7_01_v3: 160427 - 161130 (+),protein,3,4605,0,0,"ATP-dependent RNA helicase, putative",1,1,secretoryPathway,161131,FALSE,PF3D7_0103600 protein,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.01,-0.12,0.27,0.26,-0.03,0.02,-0.12,-0.1,0.36,-0.64,0.26
PF3D7_0103700,PSTK,Pf3D7_01_v3: 166513 - 168687 (+),Pf3D7_01_v3,166513,168687,(+),Pf3D7_01_v3: 166230 - 166512 (+),protein,6,1608,0,0,"L-seryl-tRNA(Sec) kinase, putative (PSTK)",0,0,0,166513,FALSE,PSTK,1,1,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.1,-0.13,0.03,0.29,-0.1,0.01,-0.06,0.27,0.05,-0.08,-0.08
PF3D7_0103800,ARP1,Pf3D7_01_v3: 169079 - 171273 (-),Pf3D7_01_v3,169079,171273,(-),Pf3D7_01_v3: 172069 - 171274 (-),protein,10,1143,0,0,actin-related protein (ARP1),0,0,0,171273,FALSE,ARP1,1,1,other,0,0,0,0,0,14,1,1,-2.80233506,-2.80233506,-0.1,-0.05,-0.12,-0.13,0.32,-0.55,-0.37,0.57,-0.35,0.21,0.14
PF3D7_0103900,PIEPS15,Pf3D7_01_v3: 172864 - 174591 (+),Pf3D7_01_v3,172864,174591,(+),Pf3D7_01_v3: 172070 - 172863 (+),protein,1,1728,0,0,parasite-infected erythrocyte surface protein (PIEPS15),1,1,exported,172864,FALSE,PIEPS15,1,1,other,0,0,0,0,0,18,17,17,0.909279658,0.909279658,0.15,-0.01,0.08,0.05,-0.07,0.02,0.32,0.41,0.2,-0.09,-0.09
PF3D7_0104000,TRSP,Pf3D7_01_v3: 175609 - 176376 (+),Pf3D7_01_v3,175609,176376,(+),Pf3D7_01_v3: 174592 - 175608 (+),protein,3,492,0,0,thrombospondin-related sporozoite protein (TRSP),1,1,secretoryPathway,175609,FALSE,TRSP,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.18,-0.3,-0.2,0.34,-0.15,-0.55,-0.06,-0.12,-0.36,-0.16,-0.32
PF3D7_0104100,PF3D7_0104100 protein,Pf3D7_01_v3: 178087 - 180790 (+),Pf3D7_01_v3,178087,180790,(+),Pf3D7_01_v3: 176377 - 178086 (+),protein,2,2376,0,0,"conserved Plasmodium membrane protein, unknown function",5,0,intergralMembrane,178087,FALSE,PF3D7_0104100 protein,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.05,0.06,0.08,0.43,0.01,-0.62,-0.46,-0.01,-0.3,-0.26,0.01
PF3D7_0104200,PF3D7_0104200 protein,Pf3D7_01_v3: 182822 - 184222 (-),Pf3D7_01_v3,182822,184222,(-),Pf3D7_01_v3: 187246 - 184223 (-),protein,1,1401,0,0,StAR-related lipid transfer protein,0,1,exported,184222,FALSE,PF3D7_0104200 protein,1,2,other,0,0,0,0,0,2,6,6,2.571864187,2.571864187,-0.11,0.03,-0.07,-0.16,-0.03,-0.09,-0.14,0.22,-0.14,-0.13,-0.07
PF3D7_0104300,UBP1,Pf3D7_01_v3: 190269 - 201230 (+),Pf3D7_01_v3,190269,201230,(+),Pf3D7_01_v3: 187247 - 190268 (+),protein,3,10500,0,0,"ubiquitin carboxyl-terminal hydrolase 1, putative (UBP1)",0,0,0,190269,FALSE,UBP1,0,1,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.05,0.08,0.25,0.14,0.03,0.05,-0.1,-0.59,0.52,0.2,-0.04
PF3D7_0104400,LytB,Pf3D7_01_v3: 202536 - 204143 (+),Pf3D7_01_v3,202536,204143,(+),Pf3D7_01_v3: 201231 - 202535 (+),protein,1,1608,0,0,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (LytB),1,0,apicoplast,202536,FALSE,LytB,1,2,other,0,0,0,0,0,3,1,1,-0.583713496,-0.583713496,0.21,-0.08,0.58,0.07,-0.15,0.08,0.47,0.5,0.04,0.31,-0.36
PF3D7_0104500,PF3D7_0104500 protein,Pf3D7_01_v3: 204622 - 205455 (-),Pf3D7_01_v3,204622,205455,(-),Pf3D7_01_v3: 205813 - 205456 (-),protein,1,834,0,0,"conserved protein, unknown function",0,1,secretoryPathway,205455,FALSE,PF3D7_0104500 protein,2,2,other,0,0,0,0,0,10,4,4,-0.328073134,-0.328073134,0.14,-0.04,-0.16,0.15,-0.19,0.62,0.21,0.91,-0.26,-0.15,0
PF3D7_0104600,PF3D7_0104600 protein,Pf3D7_01_v3: 206170 - 210189 (+),Pf3D7_01_v3,206170,210189,(+),Pf3D7_01_v3: 205814 - 206169 (+),protein,1,4020,0,0,"conserved Plasmodium protein, unknown function",0,0,0,206170,FALSE,PF3D7_0104600 protein,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.12,-0.11,0.19,-0.03,-0.07,0.03,0.43,-0.74,0.25,-0.23,-0.2
PF3D7_0104700,PF3D7_0104700 protein,Pf3D7_01_v3: 210870 - 213005 (+),Pf3D7_01_v3,210870,213005,(+),Pf3D7_01_v3: 210190 - 210869 (+),protein,1,2136,0,0,"transporter, putative",12,1,intergralMembrane,210870,FALSE,PF3D7_0104700 protein,0,0,other,0,0,0,0,0,1,0,0,-5.666516785,-5.666516785,0.23,0.35,-0.92,0.08,0.47,0.4,-0.08,0.04,-0.4,-0.11,0.44
PF3D7_0104800,NPT1,Pf3D7_01_v3: 215776 - 217509 (+),Pf3D7_01_v3,215776,217509,(+),Pf3D7_01_v3: 213006 - 215775 (+),protein,1,1734,0,0,novel putative transporter 1 (NPT1),12,0,intergralMembrane,215776,FALSE,NPT1,1,2,other,0,0,1,0,1,0,0,0,0.991694698,0.991694698,0.14,0.06,0.07,-0.45,0,-0.04,-0.33,0.7,-0.33,-0.36,0.58
PF3D7_0104900,PF3D7_0104900 ncRNA,Pf3D7_01_v3: 218517 - 218824 (-),Pf3D7_01_v3,218517,218824,(-),Pf3D7_01_v3: 218893 - 218825 (-),ncRNA,1,308,0,0,RNase MRP,NA,NA,0,218824,FALSE,PF3D7_0104900 ncRNA,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0105000,PF3D7_0105000 ncRNA,Pf3D7_01_v3: 218894 - 219223 (-),Pf3D7_01_v3,218894,219223,(-),Pf3D7_01_v3: 220213 - 219224 (-),ncRNA,1,330,0,0,unspecified product,NA,NA,0,219223,FALSE,PF3D7_0105000 ncRNA,0,0,ncRNA,0,0,0,0,0,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0105100,PF3D7_0105100 protein,Pf3D7_01_v3: 221202 - 221633 (+),Pf3D7_01_v3,221202,221633,(+),Pf3D7_01_v3: 220214 - 221201 (+),protein,1,432,0,0,"conserved Plasmodium protein, unknown function",0,0,0,221202,FALSE,PF3D7_0105100 protein,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.11,-0.04,0.51,-0.56,-0.28,-0.03,0.08,0.49,-0.23,-0.42,-0.04
PF3D7_0105200,PF3D7_0105200 protein,Pf3D7_01_v3: 222254 - 223960 (-),Pf3D7_01_v3,222254,223960,(-),Pf3D7_01_v3: 225109 - 223961 (-),protein,1,1707,0,0,"RAP protein, putative",0,0,0,223960,FALSE,PF3D7_0105200 protein,0,0,other,0,0,0,0,0,16,20,20,1.313442557,1.313442557,-0.06,0,-0.01,-0.19,-0.01,0.17,0.02,0.33,0.57,-0.02,0.26
PF3D7_0105300,CAP,Pf3D7_01_v3: 225110 - 225779 (-),Pf3D7_01_v3,225110,225779,(-),Pf3D7_01_v3: 226680 - 225780 (-),protein,2,489,0,0,cyclase-associated protein (CAP),0,0,0,225779,FALSE,CAP,1,1,other,0,0,0,0,0,4,0,0,-7.655763729,-7.655763729,-0.01,-0.08,0.05,-0.41,-0.29,-0.33,0.18,0.13,0.06,0.49,-0.54
PF3D7_0105400,PF3D7_0105400.1 protein,Pf3D7_01_v3: 226681 - 227285 (-),Pf3D7_01_v3,226681,227285,(-),Pf3D7_01_v3: 228484 - 227286 (-),protein,2,423,0,0,"conserved Plasmodium protein, unknown function",2,1,secretoryPathway,227285,FALSE,PF3D7_0105400.1 protein,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,0.05,0.28,0.02,-0.26,0.17,-0.05,-0.53,0.25,-0.88,-0.15,0.14
PF3D7_0105500,PF3D7_0105500 protein,Pf3D7_01_v3: 228485 - 229519 (-),Pf3D7_01_v3,228485,229519,(-),Pf3D7_01_v3: 230288 - 229520 (-),protein,1,1035,0,0,"conserved Plasmodium protein, unknown function",0,0,0,229519,FALSE,PF3D7_0105500 protein,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.09,0.05,0.18,-0.45,0.01,0.21,0.15,-0.68,0.34,-0.82,0.16
PF3D7_0105600,PF3D7_0105600 protein,Pf3D7_01_v3: 230289 - 234402 (-),Pf3D7_01_v3,230289,234402,(-),Pf3D7_01_v3: 236534 - 234403 (-),protein,3,3675,0,0,"conserved Plasmodium protein, unknown function",2,0,secretoryPathway,234402,FALSE,PF3D7_0105600 protein,0,2,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,-0.17,-0.18,-0.06,0.07,0.01,0.08,0.07,0.41,-0.3,-0.1,-0.05
PF3D7_0105700,PF3D7_0105700 protein,Pf3D7_01_v3: 238666 - 247857 (+),Pf3D7_01_v3,238666,247857,(+),Pf3D7_01_v3: 236535 - 238665 (+),protein,1,9192,0,0,asparagine-rich antigen Pfa35-2,0,0,0,238666,FALSE,PF3D7_0105700 protein,1,1,other,0,0,0,0,0,0,4,4,9.639153124,9.639153124,0,-0.07,0.02,0.08,-0.21,-0.04,0.18,-0.33,0.62,0.7,-0.18
PF3D7_0105800,PF3D7_0105800 protein,Pf3D7_01_v3: 249231 - 252010 (-),Pf3D7_01_v3,249231,252010,(-),Pf3D7_01_v3: 252798 - 252011 (-),protein,2,2499,0,0,"conserved Plasmodium protein, unknown function",0,0,0,252010,FALSE,PF3D7_0105800 protein,0,0,other,0,0,0,0,0,0,3,3,9.225314375,9.225314375,0.03,-0.06,0.04,-0.19,-0.17,-0.12,-0.09,-0.05,0.35,0.12,0.06
PF3D7_0105900,PF3D7_0105900 protein,Pf3D7_01_v3: 253584 - 254930 (+),Pf3D7_01_v3,253584,254930,(+),Pf3D7_01_v3: 252798 - 253583 (+),protein,1,1347,0,0,"DNA binding protein, putative",0,0,nucleus,253584,FALSE,PF3D7_0105900 protein,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,0.01,0.04,0.11,-0.26,-0.06,0.04,-0.28,0.1,0.48,-0.03,-0.01
